ID,Title,Year,Rating,Director,Actors,Genres
tt0355829,Nirali Duniya,1940,,V.M. Vyas,"['Lalita Pawar', 'Eddie Billimoria', 'Jal Merchant']",
tt10825282,Sathiyo Chalyo Khodaldham,2014,,Samir Jagot,"['Apoorva Arora', 'Leena Jumani', 'Ujjwal Rana']",['Drama']
tt0281944,Kallante Kamuki,1975,,V. Madhusoodhanan,,
tt1132589,Hijack,2008,3.8,Kunal Shivdasani,"['Shiney Ahuja', 'Mona Ambegaonkar', 'Ishita Chauhan']","['Action', 'Thriller']"
tt12619884,Dhoop Kinare,1987,9.3,,"['Rahat Kazmi', 'Marina Khan']",['Romance']
tt14078428,Gramam,2021,6.5,Chenna Narayana,"['Bharath Kanth', 'Rupa Sridevi']","['Adventure', 'Thriller']"
tt3637876,Live Concert in Paris,1999,,,,['Music']
tt1613110,Kanden Kadhalai,2009,5.6,R. Kannan,"['Bharath Srinivasan', 'Tamannaah Bhatia', 'Santhanam']","['Comedy', 'Romance']"
tt6187522,Godhulir Prem,1965,,Mohiuddin Ahmad,"['Anwar Hossain', 'Shirin Begum', 'Aminul Haque']",['Drama']
tt6690410,Kaal Aaj Kaal,2013,,Arabinda Ghosh,"['Sanjib Dasgupta', 'Dona', 'Milan Mukherjee']",['Drama']
tt0139248,Gomti Ke Kinare,1972,6.0,Saawan Kumar Tak,"['Agha', 'Jalal Agha', 'Harbans Darshan M. Arora']","['Drama', 'Family']"
tt11951992,Wohti,1967,,Luqman,"['Neelo', 'Mohammad Ali', 'Santosh Kumar']",['Drama']
tt1015964,Abajee,2007,7.3,Maureen Bharoocha,"['Murtuza H. Bharoocha', 'Omer A. Bharoocha', 'Aisha A. Bharoocha']","['Short', 'Drama', 'Family']"
tt4363010,"Av, Part 1",2014,8.6,Metin Günay,"['Engin Altan Düzyatan', 'Kaan Tasaner', 'Hülya Darcan']","['Action', 'Adventure', 'Drama', 'History', 'War']"
tt8364720,Shubhashaya,2018,,,,['Drama']
tt4765632,Anokha Jungle,1956,,Sultan,"['Habib', 'Kamran', 'Shyam Kumar']",['Action']
tt0266659,Jagadeka Veeruni Katha,1961,7.8,Kadiri Venkata Reddy,"['N.T. Rama Rao', 'Saroja Devi B.', 'Rajanala']","['Drama', 'Fantasy']"
tt12323658,Kalbettada Darodekoraru,2019,,Deepak Madhuvanahalli,"['Nataraj S. Bhat', 'Shwetha Prasad', 'Hemanth Sushil']",['Drama']
tt8702710,Urangatha Ninaivugal,1983,,R. Bhaskaran,"['Menaka', 'Rajeev', 'Radhika Sarathkumar']",
tt0232640,Shubha Mangala,1975,8.7,S.R. Puttana Kanagal,"['Arathi', 'Srinath', 'Shivaram']",['Drama']
tt0053708,Chhalia,1960,6.5,Manmohan Desai,"['Raj Kapoor', 'Nutan', 'Pran Sikand']","['Musical', 'Romance']"
tt3980002,Zee Lollywood Show,2001,,Kamran Qureshi,"['Iffat Omar', 'Shaan Shahid', 'Zeba Bakhtiar']",
tt11227418,Nee Pathi Naan Pathi,1991,4.9,Vasanth,"['Rahman', 'Gautami', 'Heera Rajgopal']",['Romance']
tt8484586,Neevevaro,2018,6.8,,"['Taapsee Pannu', 'Aadhi', 'Vennela Kishore']","['Action', 'Drama', 'Romance', 'Thriller']"
tt0451787,Kyon Ki...,2005,5.5,Priyadarshan,"['Salman Khan', 'Kareena Kapoor', 'Rimi Sen']","['Drama', 'Romance']"
tt2742164,Mithunam,2012,8.1,Tanikella Bharani,"['S.P. Balasubrahmanyam', 'Lakshmi', 'Balasubramanyam']","['Drama', 'Family']"
tt2637908,Jotibacha Navas,1975,7.8,Kamalakar Torne,"['Rajni Bala', 'Master Bhagwan', 'Sanjivani Bidkar']",['Drama']
